Group,Sex,Average,Min,Max,Median,Upper_Quartile,Lower_Quartile
F 01-19,Female,10.85940421,6.989821883,17.51399491,10.61291349,12.00826972,9.51240458
F 20-24,Female,10.79593627,6.526717557,19.98155216,10.62722646,11.9168257,9.501431298
F 25-29,Female,10.93137322,6.199745547,19.02480916,10.78053435,12.09287532,9.628498728
F 30-34,Female,11.06737737,6.260814249,20.75636132,10.92811705,12.26749364,9.730916031
F 35-39,Female,11.18136988,6.700381679,19.0629771,11.02417303,12.37054707,9.862913486
F 40-44,Female,11.27620327,6.472010178,19.55852417,11.13231552,12.53435115,9.979643766
F 45-49,Female,11.42322886,6.959923664,18.67366412,11.27926209,12.58619593,10.08524173
F 50-54,Female,11.64009868,6.970101781,20.63231552,11.55120865,12.97566794,10.30168575
F 55-59,Female,11.91703532,7.968829517,19.4153944,11.69402036,13.11259542,10.60305344
F 60-64,Female,12.23098321,8.12913486,18.66412214,12.06743003,13.43097964,10.9163486
F 65-69,Female,12.98021432,9.277989822,20.11450382,12.59414758,14.21882952,11.48346056
F 70-74,Female,13.13507209,12.2735369,14.59987277,12.53180662,13.56583969,12.40267176
F 75-79,Female,15.22678117,12.37659033,18.07697201,15.22678117,16.65187659,13.80168575
M 01-19,Male,9.959855171,5.96437659,17.27544529,9.781806616,11.19592875,8.523536896
M 20-24,Male,9.940172514,5.695292621,18.38613232,9.740458015,11.18002545,8.574745547
M 25-29,Male,10.07772865,5.476463104,19.31679389,9.867684478,11.31806616,8.711195929
M 30-34,Male,10.10979399,5.370229008,20.23854962,9.905216285,11.32585878,8.748091603
M 35-39,Male,10.11367378,5.54389313,20.3346056,9.894402036,11.27910305,8.765903308
M 40-44,Male,10.22710288,5.646310433,20.23854962,10.04262087,11.38772265,8.840012723
M 45-49,Male,10.30564638,5.874681934,18.29961832,10.13963104,11.4817112,8.916507634
M 50-54,Male,10.51757985,6.244274809,18.293257,10.3326972,11.65394402,9.1456743
M 55-59,Male,10.8511347,6.790076336,17.20292621,10.7913486,12.04516539,9.462468193
M 60-64,Male,11.36581344,7.219465649,20.11450382,11.2321883,12.67907125,9.909987277
M 65-69,Male,11.90740449,6.858142494,18.40966921,11.87277354,13.26208651,10.58587786
M 70-74,Male,12.77480916,9.842239186,16.8326972,12.59732824,14.05248092,11.23505089
M 75-79,Male,12.80428329,11.2321883,13.79898219,13.38167939,13.59033079,12.30693384